Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,60.1866569519043,170.589599609375
2015-01-05,14.005999565124512,60.36143112182617,167.50880432128906
2015-01-06,14.085332870483398,60.53618621826172,165.9310760498047
2015-01-07,14.063332557678223,60.572628021240234,167.99876403808594
2015-01-08,14.041333198547363,60.477970123291016,170.9799041748047
2015-01-09,13.77733325958252,60.57987594604492,169.60977172851562
2015-01-12,13.480667114257812,60.6600227355957,168.28109741210938
2015-01-13,13.616666793823242,60.71831512451172,167.80780029296875
2015-01-14,12.845999717712402,60.85662078857422,166.794677734375
2015-01-15,12.791333198547363,61.126094818115234,165.26675415039062
2015-01-16,12.871333122253418,60.94401168823242,167.4341278076172
2015-01-20,12.795332908630371,60.878456115722656,167.79115295410156
2015-01-21,13.104666709899902,60.76195526123047,168.63819885253906
2015-01-22,13.441332817077637,60.77651596069336,171.14601135253906
2015-01-23,13.419333457946777,60.973175048828125,170.2075958251953
2015-01-26,13.770000457763672,60.900306701660156,170.606201171875
2015-01-27,13.732000350952148,60.93671798706055,168.35581970214844
2015-01-28,13.291333198547363,61.155189514160156,166.19680786132812
2015-01-29,13.680000305175781,61.089656829833984,167.7330322265625
2015-01-30,13.573332786560059,61.42457962036133,165.62380981445312
2015-02-02,14.062666893005371,61.351646423339844,167.67489624023438
2015-02-03,14.557332992553711,61.1619873046875,170.09970092773438
2015-02-04,14.569999694824219,61.18380355834961,169.45196533203125
2015-02-05,14.732666969299316,61.05247497558594,171.16256713867188
2015-02-06,14.490667343139648,60.65849304199219,170.68927001953125
2015-02-09,14.498666763305664,60.6365852355957,169.92529296875
2015-02-10,14.419333457946777,60.527095794677734,171.73561096191406
2015-02-11,14.186667442321777,60.527095794677734,171.835205078125
2015-02-12,13.525333404541016,60.55632400512695,173.48773193359375
2015-02-13,13.584667205810547,60.41770553588867,174.20184326171875
2015-02-17,13.623332977294922,60.176856994628906,174.4758758544922
2015-02-18,13.630666732788086,60.344688415527344,174.49246215820312
2015-02-19,14.11400032043457,60.293601989746094,174.367919921875
2015-02-20,14.473999977111816,60.30820846557617,175.41424560546875
2015-02-23,13.822667121887207,60.43229293823242,175.38938903808594
2015-02-24,13.607333183288574,60.68034744262695,175.88760375976562
2015-02-25,13.583999633789062,60.7387580871582,175.7381591796875
2015-02-26,13.812666893005371,60.57088088989258,175.53050231933594
2015-02-27,13.555999755859375,60.621971130371094,174.93260192871094
2015-03-02,13.155332565307617,60.42604446411133,176.03704833984375
2015-03-03,13.303999900817871,60.352909088134766,175.31460571289062
2015-03-04,13.496000289916992,60.352909088134766,174.57557678222656
2015-03-05,13.375332832336426,60.38948059082031,174.76654052734375
2015-03-06,12.925333023071289,60.03855514526367,172.30856323242188
2015-03-09,12.725333213806152,60.11167907714844,173.02268981933594
2015-03-10,12.687999725341797,60.345645904541016,170.21597290039062
2015-03-11,12.916000366210938,60.411434173583984,169.8173370361328
2015-03-12,12.73799991607666,60.455257415771484,171.9763946533203
2015-03-13,12.578666687011719,60.396793365478516,170.9217987060547
2015-03-16,13.046667098999023,60.513797760009766,173.2053680419922
2015-03-17,12.982000350952148,60.56493377685547,172.69053649902344
2015-03-18,13.380666732788086,60.937828063964844,174.76654052734375
2015-03-19,13.043333053588867,60.755062103271484,173.96939086914062
2015-03-20,13.20533275604248,60.9158935546875,175.50497436523438
2015-03-23,13.308667182922363,60.94512176513672,175.16297912597656
2015-03-24,13.447999954223633,61.047508239746094,174.17874145507812
2015-03-25,12.953332901000977,60.95243453979492,171.62635803222656
2015-03-26,12.694000244140625,60.755062103271484,171.2176513671875
2015-03-27,12.333333015441895,60.81352615356445,171.60971069335938
2015-03-30,12.704667091369629,60.886653900146484,173.7033233642578
2015-03-31,12.584667205810547,60.95243453979492,172.1852264404297
2015-04-01,12.505999565124512,61.19498062133789,171.57635498046875
2015-04-02,12.733332633972168,61.11436462402344,172.1935272216797
2015-04-06,13.539999961853027,61.16566848754883,173.35293579101562
2015-04-07,13.550000190734863,61.20228958129883,172.89419555664062
2015-04-08,13.844667434692383,61.15835952758789,173.4781036376953
2015-04-09,14.005999565124512,61.02643966674805,174.2454376220703
2015-04-10,14.0600004196167,60.99716567993164,175.19630432128906
2015-04-13,13.985333442687988,61.011810302734375,174.40390014648438
2015-04-14,13.830666542053223,61.1217155456543,174.73760986328125
2015-04-15,13.85533332824707,61.18030548095703,175.5216064453125
2015-04-16,13.779999732971191,61.16566848754883,175.47157287597656
2015-04-17,13.78600025177002,61.26824951171875,173.4530487060547
2015-04-20,13.684666633605957,61.20228958129883,175.03785705566406
2015-04-21,13.96066665649414,61.129051208496094,174.8292999267578
2015-04-22,14.629332542419434,60.90189743041992,175.6884307861328
2015-04-23,14.573332786560059,61.01910400390625,176.13050842285156
2015-04-24,14.562000274658203,61.11436462402344,176.53921508789062
2015-04-27,15.436667442321777,61.0704231262207,175.80526733398438
2015-04-28,15.36533260345459,60.879886627197266,176.36410522460938
2015-04-29,15.49666690826416,60.68934631347656,175.63841247558594
2015-04-30,15.069999694824219,60.755332946777344,173.8784637451172
2015-05-01,15.0686674118042,60.571022033691406,175.76351928710938
2015-05-04,15.36733341217041,60.4828987121582,176.26402282714844
2015-05-05,15.529999732971191,60.38749694824219,174.2454376220703
2015-05-06,15.362000465393066,60.218597412109375,173.52809143066406
2015-05-07,15.786666870117188,60.34342575073242,174.22039794921875
2015-05-08,15.77400016784668,60.50493621826172,176.5142364501953
2015-05-11,15.965999603271484,60.18922805786133,175.67173767089844
2015-05-12,16.31599998474121,60.115848541259766,175.1463165283203
